9,1
21,13
28,26
28,29
43,38
51,42
63,56
75,69
82,69
92,76
92,82
103,85
109,91
112,101
120,103
135,106
145,111
147,121
152,121
154,136
163,137
175,151
190,156
198,161
204,167
208,180
217,185
230,190
238,204
240,212
249,227
256,241
257,241
267,247
278,262
293,273
296,280
310,291
315,304
322,308
4,11
4,18
7,25
9,32
11,40
15,42
27,50
29,55
29,64
37,76
51,86
57,97
70,104
75,105
77,105
81,111
81,116
93,122
97,127
98,140
111,145
114,146
122,160
126,174
141,176
145,176
154,190
161,204
173,210
176,222
182,224
192,232
205,232
208,232
213,239
217,244
218,258
218,265
221,280
223,282
13,13
16,23
27,23
39,36
42,37
53,52
53,55
54,65
62,71
73,75
85,89
92,103
93,112
105,122
119,130
128,144
131,153
140,164
141,164
150,169
159,180
171,188
181,201
195,214
204,219
216,222
216,226
221,229
231,236
234,239
239,252
240,262
240,264
253,276
262,282
264,297
271,311
281,324
290,329
302,340
0,6
1,21
13,25
17,38
24,53
30,65
32,74
45,84
55,98
62,104
67,117
69,132
72,147
85,156
97,161
98,163
98,176
110,189
121,204
131,208
143,221
156,232
170,243
182,249
190,253
197,258
199,266
209,273
221,276
236,290
242,304
252,306
252,321
255,322
255,327
263,336
274,337
284,340
294,351
302,366
13,4
15,5
15,13
20,19
32,25
36,39
38,53
49,56
57,57
67,65
80,69
82,71
87,73
88,77
103,86
113,95
122,110
127,118
129,128
131,142
144,145
148,157
161,159
171,165
185,172
194,183
207,198
220,211
231,221
246,229
256,235
260,238
274,238
277,248
279,254
287,265
292,277
302,278
313,291
320,296
3,3
14,4
23,10
31,16
37,21
40,21
54,21
68,23
74,37
84,51
86,55
94,59
106,62
121,77
129,77
130,90
133,97
137,107
146,109
149,123
164,129
172,132
186,143
201,157
209,158
214,162
221,165
231,180
243,191
251,198
255,199
258,206
263,208
277,209
278,221
279,222
284,232
298,246
300,260
313,272
7,11
21,11
32,26
46,39
61,53
65,67
72,71
84,72
90,80
95,85
97,97
101,101
110,115
110,117
112,119
113,128
128,128
132,143
146,150
154,152
163,157
163,169
166,171
181,175
196,176
204,191
217,195
223,206
238,217
247,223
261,234
268,243
276,252
280,255
286,263
292,278
301,278
301,278
312,288
325,302
5,5
10,11
11,25
12,36
26,44
38,57
40,72
43,82
58,86
62,100
67,108
69,113
82,114
86,114
87,118
98,128
101,133
113,138
126,141
140,153
151,155
166,156
180,170
187,177
195,188
201,195
215,196
220,201
222,204
235,219
245,221
252,221
262,230
271,230
280,240
283,247
288,259
292,273
302,274
311,288
2,10
6,19
19,29
29,42
31,52
31,67
41,82
42,90
43,93
45,100
60,107
71,118
81,125
96,134
98,136
109,140
115,142
122,150
129,165
136,175
137,176
151,183
155,193
160,198
174,209
174,219
179,220
191,232
193,233
207,233
208,233
217,238
217,242
219,242
226,247
238,259
248,274
249,277
251,290
251,304
14,9
26,19
28,20
36,23
43,26
51,27
56,30
62,37
64,51
68,59
80,65
80,72
95,76
104,80
113,95
123,103
134,116
143,119
158,131
170,134
185,140
185,141
187,153
197,159
210,169
215,171
223,175
225,177
226,178
241,182
242,185
243,194
256,204
270,204
274,218
283,221
285,226
300,241
308,254
309,255
